De,Vers
Charles de Gaulle - Étoile,George V
Charles de Gaulle - Étoile,Victor Hugo
Charles de Gaulle - Étoile,Ternes
Charles de Gaulle - Étoile,Place d'Italie
Franklin D. Roosevelt,Champs-Élysées - Clemenceau
Franklin D. Roosevelt,Alma - Marceau
Champs-Élysées - Clemenceau,Concorde
Champs-Élysées - Clemenceau,Miromesnil
Concorde,Tuileries
Concorde,Invalides
Concorde,Madeleine
Palais-Royal - Musée du Louvre,Louvre - Rivoli
Palais-Royal - Musée du Louvre,Pyramides
Châtelet,Hôtel de Ville
Châtelet,Les Halles
Châtelet,Cité
Châtelet,Pont Marie
Châtelet,Gare d'Austerlitz
Châtelet,Pyramides
Hôtel de Ville,Saint-Paul
Bastille,Gare de Lyon
Bastille,Bréguet - Sabin
Bastille,Quai de la Rapée
Bastille,Chemin Vert
Gare de Lyon,Reuilly - Diderot
Reuilly - Diderot,Nation
Nation,Avron
Nation,Pont de Levallois - Bécon
Nation,Picpus
Nation,La Courneuve - 8 Mai 1945
Nation,Rue des Boulets
Villiers,Rome
Place de Clichy,Blanche
Place de Clichy,La Fourche
Pigalle,Anvers
Pigalle,Abbesses
Barbès - Rochechouart,La Chapelle
Barbès - Rochechouart,Château Rouge
Stalingrad,Jaurès
Stalingrad,Gare du Nord
Jaurès,Colonel Fabien
Jaurès,Laumière
Jaurès,Louis Blanc
Belleville,Couronnes
Belleville,Goncourt
Père Lachaise,Rue Saint-Maur
Saint-Lazare,Havre - Caumartin
Saint-Lazare,Madeleine
Saint-Lazare,Miromesnil
Havre - Caumartin,Opéra
Opéra,Quatre-Septembre
Opéra,Chaussée d'Antin - La Fayette
Opéra,Pyramides
Réaumur - Sébastopol,Arts et Métiers
Arts et Métiers,Temple
République,Jacques Bonsergent
Gambetta,Porte de Bagnolet
Porte des Lilas,Porte de Clignancourt
Gare de l'Est,Château d'Eau
Odéon,Saint-Germain-des-Prés
Odéon,Mabillon
Montparnasse - Bienvenüe,Vavin
Montparnasse - Bienvenüe,Pasteur
Montparnasse - Bienvenüe,Edgar Quinet
Montparnasse - Bienvenüe,Notre-Dame-des-Champs
Montparnasse - Bienvenüe,Falguière
Montparnasse - Bienvenüe,Duroc
Gare d'Austerlitz,Saint-Marcel
Trocadéro,Passy
La Motte-Picquet - Grenelle,École Militaire
Porte de Clichy,Brochant
